"""cni""","""email""","""phone""","""address_1""","""address_2""","""first_name""","""last_name""","""status""","""service_id""","""partner_id""","""status""","""salutation""","""dob""","""pob""","""billing_period"""
"""189031482686968""","""ifabre@sfr.fr""","07 60 13 36 05","852  rue Hamel","67  place de Bouvier","""Aurélie""","""Besnard""","""A""",1,1,"""A""","""bimestriel""","""Mr""","""18/11/1992""","""DAKAR"""
"""121100638217192""","""juliette96@moulin.org""","+33 4 85 07 52 68","2  place de Besnard","90  place Clémence Leclercq","""Marine""","""Albert""","""A""",3,1,"""A""","""bimestriel""","""Mr""","""18/11/1992""","""DAKAR"""
"""235103298720465""","""diane67@payet.org""","+33 (0)4 85 72 03 67","435  impasse de Vallee","460  boulevard de Chartier","""Denis""","""Meunier""","""A""",1,1,"""A""","""bimestriel""","""Mr""","""18/11/1992""","""DAKAR"""
"""265128670824467""","""dboutin@ifrance.com""","+33 (0)1 63 16 13 33","48  rue Adrien Clerc","7  avenue Renault","""Émile""","""Vallee""","""A""",3,1,"""A""","""bimestriel""","""Mr""","""18/11/1992""","""DAKAR"""
"""284081123087760""","""remy50@wanadoo.fr""","+33 3 33 67 90 59","chemin Édith Alexandre","3  place Lombard","""Rémy""","""Lefebvre""","""A""",4,1,"""A""","""bimestriel""","""Mr""","""18/11/1992""","""DAKAR"""
"""207024409736573""","""duval.emmanuelle@orange.fr""","01 09 35 68 74","rue de Voisin","78  rue de Marion","""Océane""","""Louis""","""A""",4,1,"""A""","""bimestriel""","""Mr""","""18/11/1992""","""DAKAR"""
"""223077070140997""","""afontaine@raynaud.org""","+33 1 48 76 05 15","65  place Julien","22  rue de Charpentier","""Matthieu""","""Michaud""","""A""",1,1,"""A""","""bimestriel""","""Mr""","""18/11/1992""","""DAKAR"""
"""247029489798777""","""hugues.chevalier@costa.com""","05 06 15 73 74","640  rue Tristan Dias","3  impasse Gilbert","""Isabelle""","""Turpin""","""A""",3,1,"""A""","""bimestriel""","""Mr""","""18/11/1992""","""DAKAR"""
"""255034805298706""","""qduval@bouygtel.fr""","+33 1 54 92 59 80","47  chemin de Dumas","23  rue Lombard","""Christelle""","""Payet""","""A""",3,1,"""A""","""bimestriel""","""Mr""","""18/11/1992""","""DAKAR"""
"""173126661941746""","""chantal13@wanadoo.fr""","+33 (0)9 05 05 30 28","3  chemin Geneviève Laporte","70  impasse de Pereira","""Guy""","""Lenoir""","""A""",3,1,"""A""","""bimestriel""","""Mr""","""18/11/1992""","""DAKAR"""
